Configuração completa da Sala:Tempo de Procesamento sala ID:  595 = à 196,2663788 sec
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 16 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 16 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala:Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 722 - Tempo de Procesamento: 3 minutes, 16 seconds
Configuração completa da Sala: 723 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 724 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 725 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 495 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 491 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 492 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 493 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 494 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 497 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 498 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 496 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 499 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 500 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 501 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 502 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 503 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 504 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 506 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 507 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 508 - Tempo de Procesamento: 3 minutes, 16 seconds
Configuração completa da Sala: 509 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 612 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 616 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 614 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 621 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 615 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 613 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 617 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 622 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 618 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 620 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 619 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1075 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1076 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 1095 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1096 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1097 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1108 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1109 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1110 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1133 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1134 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 510 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 511 - Tempo de Procesamento: 3 minutes, 16 seconds
Configuração completa da Sala: 512 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 513 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1074 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 515 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 516 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 517 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 518 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 519 - Tempo de Procesamento: 3 minutes, 16 seconds
Configuração completa da Sala: 520 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 521 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 522 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 888 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 886 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 890 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 887 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 889 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 919 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 514 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1079 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1080 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1081 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1082 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1083 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1084 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1085 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1131 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1086 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 1087 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 412 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 428 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 429 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 413 - Tempo de Procesamento: 3 minutes, 15 seconds
Configuração completa da Sala: 414 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 415 - Tempo de Procesamento: 3 minutes, 14 seconds
Configuração completa da Sala: 416 - Tempo de Procesamento: 3 minutes, 14 seconds
